"Genotype","Plot","Stand.count","Leaf.count","Date.of.emergence","PlantingDate","DAP","week"
"CML69",487,17,"13",2021-07-09,2021-05-20,50,"8"
"CML69",922,16,"13",2021-07-12,2021-05-20,53,"8"
"CML69",516,15,"13",2021-07-08,2021-05-20,49,"7"
"F118",834,18,"10",2021-06-25,2021-05-20,36,"6"
"F118",662,17,"10",2021-06-28,2021-05-20,39,"6"
"F118",923,18,"10.5",2021-06-28,2021-05-20,39,"6"
"F118",892,18,"8.5",2021-06-24,2021-05-20,35,"5"
"F118",631,17,"10",2021-06-28,2021-05-20,39,"6"
"F118",689,16,"10",2021-06-28,2021-05-20,39,"6"
"F118",865,18,"10",2021-06-28,2021-05-20,39,"6"
"F118",604,18,"10",2021-06-28,2021-05-20,39,"6"
"GT112",703,17,"10",2021-06-28,2021-05-20,39,"6"
"GT112",954,18,"9.5",2021-06-24,2021-05-20,35,"5"
"GT112",977,16,"9.5",2021-06-24,2021-05-20,35,"5"
"GT112",648,17,"11",2021-06-30,2021-05-20,41,"6"
"GT112",1035,17,"10",2021-06-24,2021-05-20,35,"5"
"GT112",590,16,"9",2021-06-24,2021-05-20,35,"5"
"GT112",1012,18,"9",2021-06-24,2021-05-20,35,"5"
"GT112",645,18,"8.5",2021-06-24,2021-05-20,35,"5"
"Hickory King",1161,16,"11.5",2021-06-23,2021-05-20,34,"5"
"Hickory King",767,16,"11",2021-06-23,2021-05-20,34,"5"
"Hickory King",1103,17,"11",2021-06-23,2021-05-20,34,"5"
"Hickory King",709,17,"11",2021-06-23,2021-05-20,34,"5"
"Hickory King",1118,17,"11.5",2021-06-23,2021-05-20,34,"5"
"Hickory King",816,14,"10.5",2021-06-25,2021-05-20,36,"6"
"Hickory King",1060,18,"11",2021-06-23,2021-05-20,34,"5"
"Hickory King",758,17,"10 5",2021-06-23,2021-05-20,34,"5"
"Hp301",600,16,"9",2021-06-24,2021-05-20,35,"5"
"Hp301",916,18,"9",2021-06-23,2021-05-20,34,"5"
"Hp301",635,17,"8.5",2021-06-23,2021-05-20,34,"5"
"Hp301",841,17,"9",2021-06-23,2021-05-20,34,"5"
"Hp301",858,17,"8",2021-06-24,2021-05-20,35,"5"
"Hp301",693,19,"9",2021-06-23,2021-05-20,34,"5"
