"Genotype","Plot.ID","Plant","Side","num_whorls","w1","w2","w3","w4","root_angle_deg","stalk_width_cm","single_root_width_cm","spread_width_cm","root_heightonstalk_cm"
"PHR58","1260","10","A",1,6,0,0,0,69.189341953871,2.42960653883891,0.527996274923919,9.06123975188332,1.24607120882045
"PHR58","1334","09","A",1,7,0,0,0,44.7619223839169,2.34806289473684,0.42799,7.66201026315789,2.74052631578947
"PHR58","1260","02","A",2,4,7,0,0,55.5278597146576,2.44292626805509,0.593043500167954,15.3903565670138,4.44734632180047
"PHR58","1260","06","A",2,7,5,0,0,54.9689938542149,2.12431286644951,0.453642345276873,14.3899480456026,4.29193811074919
"PHR58","1260","05","A",2,3,8,0,0,61.8165484389239,1.96868490054904,0.411399122108099,11.388493966304,2.51133581538194
"PHR58","1260","04","A",2,3,9,0,0,51.8294105157044,1.98667913817572,0.516925719262031,9.29847761579151,2.8776125661205
"PHR58","1260","09","A",1,8,0,0,0,76.5354785014246,1.96428571428571,0.436507936507937,7.32142857142857,0.634920634920635
"PHR58","1334","05","A",1,7,0,0,0,50.5142272705028,2.25777777777778,0.650486944444444,9.03111111111111,2.75166666666667
"PHR58","1334","07","A",1,5,0,0,0,44.4142352298872,1.85544729926373,0.454897378537454,5.66188910366397,1.95838672545229
"PHR58","1260","01","A",2,5,11,0,0,55.5915817273332,2.39641548064919,0.416420474406991,14.6366152309613,3.99550561797753
"PHR58","1334","06","A",1,2,0,0,0,48.5165244422628,1.35282619928151,1.31569650071402,1.62150756937748,0.111089412635836
"PHR58","1260","07","A",2,2,3,0,0,64.7092056796652,2.26102333333333,0.37497253968254,11.9170550793651,2.25777777777778
"PHR58","1334","03","A",1,8,0,0,0,48.9823190832901,2.48951544765104,0.753842316893164,8.04863388812541,2.42403420369522
"PHR58","1334","02","A",1,9,0,0,0,49.5453075962479,2.069861875,0.80946625,9.054861875,2.9765625
"PHR58","1334","04","A",1,5,0,0,0,56.6191372606858,1.63549751125859,0.385485186063048,9.37169092201944,2.54361223038635
"PHR58","1334","11","A",2,3,7,0,0,36.8536092343552,2.202942,0.757301,4.82760866666667,1.75683333333333
"PHR58","1260","11","A",2,5,7,0,0,61.4662881362603,2.17718958308084,0.396653738940734,12.7977204278269,2.87639377045207
"PHR58","1260","03","A",2,1,9,0,0,61.4095684322345,2.24406883333333,0.410972,12.8274021666667,2.65641666666667
"PHR58","1260","08","A",2,8,1,0,0,71.2496856110013,1.91521753830549,0.508964176489573,8.39510811599994,1.10275246277029
"PHT60","1381","13","A",1,6,0,0,0,46.486526829835,2.04710569958296,0.406509645635685,8.55150781650123,3.06636099797576
"PHT60","1381","09","A",2,7,2,0,0,37.7489112178036,1.7108311284765,0.30515321191238,8.62659534211174,4.36630876199852
"PHT60","1328","03","A",1,9,0,0,0,32.2754796071646,1.92887514215805,0.358914946410725,4.70810800565186,2.19931419512699
"PHT60","1381","02","A",1,7,0,0,0,34.8470117134635,1.91941566746603,0.454634958699707,7.58754782840394,4.05229150013323
"PHT60","1381","08","A",2,2,3,0,0,23.2518283511524,1.40305690868728,0.281867391921891,3.95516270897556,2.95296011446968
"PHT60","1381","01","A",2,7,2,0,0,29.4332023018814,1.88660644831116,0.229789406345957,7.47616632548618,4.91523797338792
"PHT60","1381","12","A",1,4,0,0,0,36.5908739820665,1.13285616026137,0.250934463932594,2.87991144355601,1.14650502966211
"PHT60","1381","11","A",1,9,0,0,0,31.7682946111016,2.11428263157895,0.222490631578947,6.13817736842105,3.08810526315789
"PHT60","1381","07","A",1,6,0,0,0,32.2565066284758,1.69881656468879,0.232472670306842,5.50488074831708,2.98430032579946
"PHT60","1381","03","A",1,8,0,0,0,40.3827090907349,1.99175729263386,0.269398406066233,7.76493123259053,3.28579580625193
"PHT60","1328","02","A",1,9,0,0,0,36.0080616693857,1.66737429702145,0.437873568006665,4.55073193084774,1.98396167465111
"PHT60","1328","01","A",2,7,9,0,0,22.5966079147559,1.92248421321744,0.40160117601943,5.20178882781541,3.92867186501342
"PHT60","1328","05","A",1,7,0,0,0,41.4175399948824,2.01125873955517,0.618772686301737,6.31172890935224,2.41321347657677
"PHT60","1328","04","A",1,8,0,0,0,24.7072186547181,1.80587308308884,0.533645080306101,4.11070354798705,2.4968996703064
"PHT60","1328","06","A",2,5,2,0,0,30.1443477017363,1.52295809312639,0.16419889135255,4.16996474501109,2.26685144124168
"PHT60","1328","07","A",1,8,0,0,0,30.7008428235756,1.64918957446809,0.29228914893617,4.21621085106383,2.16170212765957
"PHT60","1328","11","A",2,7,2,0,0,26.6428381186859,1.62111335644849,0.398875795026696,5.51126672480909,3.87664589138712
"PHT60","1328","09","A",2,9,2,0,0,18.0498630877167,1.71025581284931,1.59150557545173,2.13234870991372,0.643907021542135
"PHT60","1328","12","A",1,7,0,0,0,38.8215945391138,1.64380588034964,0.400563968668407,4.58488886366216,1.83096832784652
"PHT60","1328","13","A",2,6,5,0,0,34.4762979752304,2.0373384171859,0.484266483771971,6.61396819492235,3.32174741932484
"PHT60","1328","08","A",2,6,6,0,0,30.7012239170947,1.43208400166479,1.36363117924065,1.69339965207795,0.219742706029246
"PHT60","1381","04","A",2,6,4,0,0,24.0245090325798,2.05761700230015,0.433244496080364,5.61967398957893,3.94210909261606
"PHT60","1328","10","A",1,8,0,0,0,26.7988012010664,1.64772867443653,0.182140265747585,4.44102603056551,2.76450047616888
"PHT60","1381","06","A",1,6,0,0,0,41.6233095470235,1.46007274920372,0.271334175163497,5.18206147873122,2.0764149343184
"PHT60","1381","05","A",1,8,0,0,0,39.3095702755859,2.02429223835754,0.35179699549324,7.25183355032549,3.19248873309965
"PHT60","1381","10","A",2,5,2,0,0,32.0044627471311,1.78199142857143,0.325301428571429,7.25783558441558,4.33779220779221
"R78","1316","03","A",2,2,9,0,0,34.8064841945225,2.542032,0.6117336,6.961632,3.175
"R78","1316","01","A",2,7,2,0,0,19.4830570075806,2.41534708727829,0.757263819407119,6.82598089882995,5.93335262744449
"R78","1316","13","A",1,5,0,0,0,40.3458721754579,2.25348659738467,0.851942708133604,6.00353453234651,2.069831652414
"R78","1316","12","A",2,4,8,0,0,29.795142964594,2.58884615384615,0.588205384615385,6.88730769230769,3.76115384615385
"R78","1316","02","A",1,12,0,0,0,36.9956935043402,2.44670384615385,0.651705384615385,7.86862692307692,3.54134615384615
"R78","1335","02","A",1,6,0,0,0,35.6420319827643,2.09717661415576,0.528344796982472,5.33769136898158,2.25427113379188
"R78","1335","03","A",1,7,0,0,0,53.865264005771,2.31084598198862,0.374591058801852,6.43526729161388,1.37480710320842
"R78","1316","07","A",1,6,0,0,0,43.4529709705414,2.29315707434053,0.642055555555555,5.69403637090328,1.8019584332534
"R78","1316","08","A",1,7,0,0,0,39.698693447262,2.10933862068965,0.527356551724138,4.95589034482759,1.66413793103448
"R78","1316","05","A",2,5,8,0,0,39.8577428012998,2.18326298960831,0.78961310951239,6.80236770583533,2.76638689048761
"R78","1316","11","A",1,8,0,0,0,31.6582387455441,2.6463625,0.479160416666667,5.92719583333333,2.64583333333333
"R78","1335","04","A",1,8,0,0,0,46.306483187584,2.33501666993528,0.502028584036086,5.57290645224554,1.52554422435772
"R78","1335","06","A",1,13,0,0,0,42.1648213280531,2.7395884375,0.5020071875,7.2639634375,2.3415625
"R78","1335","07","A",1,7,0,0,0,35.684758776157,2.06716488888889,0.722827555555556,5.05872044444444,2.11666666666667
"R78","1316","06","A",1,5,0,0,0,46.7841949343688,1.74101787856286,0.51933112469298,4.49762951962072,1.28762780602045
"R78","1335","01","A",1,6,0,0,0,63.8346742904077,2.80349387668358,0.301752782721887,12.452565417209,2.46287490370056
"R78","1316","04","A",1,10,0,0,0,30.3987285824607,2.39620431223337,0.634536300395865,5.66650678350436,2.78219762481264
"R78","1316","09","A",1,11,0,0,0,35.3747433959505,2.39433255359129,0.634975649039383,6.82620738581892,3.11692295892932
"R78","1335","05","A",1,6,0,0,0,45.2238070854303,2.44454891861351,0.389213465429795,7.25047749191917,2.33621527869025
"R78","1335","09","A",1,5,0,0,0,40.1504031486378,1.7921502699004,0.246169314985174,4.80952273245647,1.71386755873185
"R78","1316","10","A",2,6,2,0,0,45.5508530576032,2.223135,0.757660833333333,7.35605166666667,2.51354166666667
"R78","1335","15","A",1,6,0,0,0,40.9880689376401,2.13389534883721,0.501236511627907,6.65273255813953,2.59906976744186
"R78","1335","08","A",2,5,7,0,0,37.9352259335888,1.905,0.359762777777778,4.69194444444445,1.79916666666667
"R84","1280","10","A",2,6,4,0,0,35.070248661245,2.6994858006197,0.553809889631508,8.55336918388774,4.19528309134209
"R84","1280","09","A",2,6,6,0,0,34.2749693970881,2.25536304637231,0.608054415353894,7.22180413800754,3.57513312624806
"R84","1280","06","A",2,4,8,0,0,50.0385942357839,1.94340680655969,0.434555535962695,3.6105632947354,1.49297595956034
"R84","1280","01","A",2,5,2,0,0,32.715776307301,2.54642955903937,0.56731403288592,6.92285209844504,3.39037672034205
"R84","1280","02","A",2,8,2,0,0,43.2504671476922,2.86488144977315,0.524921180119447,10.514895547638,3.61341091431061
"R84","1369","01","A",1,6,0,0,0,22.1019849386504,2.38406928305196,0.195686862042924,6.49890764695851,5.0584667105167
"R84","1369","14","A",1,8,0,0,0,54.0474218801671,2.46396791205526,0.529960632845577,8.28900690782144,2.08710911386764
"R84","1280","14","A",2,8,3,0,0,29.4160771275828,2.86633203861313,0.580339292854287,7.18260552921688,3.82661221225795
"R84","1369","15","A",1,5,0,0,0,42.2511334867459,2.43150098411159,0.68352568673874,10.5825121944262,4.47399948655047
"R84","1280","08","A",1,9,0,0,0,23.0044197770888,2.03637430741989,0.580339292854287,4.57535871365739,3.02864568458331
"R84","1280","12","A",1,8,0,0,0,29.733350025695,2.19859217033302,0.557761699432386,5.5399646763624,2.90823162561816
"R84","1280","04","A",1,7,0,0,0,36.0437453070184,1.9818589681069,0.595641519555252,5.69784453330733,2.55474007607529
"R84","1280","07","A",2,7,3,0,0,32.3642169836146,2.02583101112105,0.610015595040266,6.27918650134219,3.3767097021603
"R84","1280","03","A",1,10,0,0,0,30.6722241749924,2.28157128205128,0.589768461538462,5.27746871794872,2.6051282051282
"R84","1369","02","A",1,8,0,0,0,29.5967749703428,2.24886200159844,0.615771245892905,6.84459062250244,4.04593286564248
"R84","1369","07","A",1,7,0,0,0,37.7027897879553,1.32845188284519,0.472559855880986,4.94479311947931,2.27558887339222
"R84","1369","09","A",1,5,0,0,0,38.4145260184534,1.59965613737545,0.508,6.60750010599958,3.10970956116175
"R84","1280","05","A",1,7,0,0,0,36.9128963656388,2.16660162245122,0.525956783356476,5.87923774026164,2.4596214280494
"R84","1280","13","A",1,8,0,0,0,31.1709479893143,2.218182,0.654158857142857,6.028182,3.175
"R84","1369","10","A",1,3,0,0,0,58.3660468963794,2.06240575339288,0.364427096624521,6.59969841085721,1.39948961837374
"R84","1369","12","A",1,5,0,0,0,43.1166038834127,1.64832277387398,0.502674807049879,4.98875974350113,1.82870637023384
"R84","1369","06","A",1,3,0,0,0,47.9909837214766,1.87298454522422,0.456903977704586,6.31916921943018,2.00370822488887
"R84","1280","11","A",1,11,0,0,0,37.967507617753,2.64753174474523,0.721361646944399,7.21094018479494,2.95077538228778
"R84","1369","13","A",1,8,0,0,0,58.2719034571175,1.18249909818916,0.549743885722531,5.00780030300844,1.1796587547796
"R84","1369","05","A",1,5,0,0,0,44.4687108444806,2.26416879298868,0.546801641890393,7.35934990015531,5.36796552584868
"R84","1369","08","A",1,2,0,0,0,39.9536911920029,1.41878566333809,0.294400855920114,4.43073288159772,1.65317403708987
"SA24","1285","07","A",1,9,0,0,0,34.9155899175994,2.0813807584953,0.424016286394715,4.48797726050549,1.72364344062892
"SA24","1336","09","A",1,10,0,0,0,44.5567179740766,2.61512718679878,0.271607855596815,6.09533926408388,1.75271550269068
"SA24","1285","02","A",1,12,0,0,0,35.8129050996927,2.6981310606818,0.562441267619714,7.14179796061182,3.07882635209437
"SA24","1285","06","A",1,12,0,0,0,45.6027706663812,2.86383944778218,0.585339639524479,6.7925113127956,1.91563338872555
"SA24","1336","07","A",1,7,0,0,0,53.1874188995994,2.38423621621622,0.369672972972973,5.19883081081081,1.06405405405405
"SA24","1285","11","A",1,12,0,0,0,35.5213532606785,2.21836730915218,0.347193060415857,4.8520024440371,1.84589605436131
"SA24","1285","05","A",1,14,0,0,0,42.2610061561785,2.69557103620474,0.471406242197253,6.43739375780275,2.04531835205993
"SA24","1285","09","A",1,12,0,0,0,39.7592865577638,2.23779610587451,0.332524040750262,5.07936518137675,1.70796439112634
"SA24","1285","04","A",2,2,1,0,0,21.9961793380743,2.36835094574194,0.277689148388243,4.68031258325193,2.53751887043779
"SA24","1285","12","A",1,10,0,0,0,43.3376754464446,2.43909181300048,0.406519060386002,6.31757408426697,2.02943839775572
"SA24","1285","01","A",1,16,0,0,0,34.6951051952127,2.86583439025328,0.563443829509205,7.55164091625351,3.39232868288558
"SA24","1285","08","A",1,14,0,0,0,37.3446810740619,2.47592034304054,0.481833583247836,5.44937679215005,1.95446294688659
